epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,157.044,1.55567,0.80581,0.91969,0.97118,0.97561,0.97251,0.53013,1.58407,0.8249,0.89831,0.00183764,0.00183764,0.00183764
43,161.22,1.68403,0.82451,0.92965,0.97192,0.97561,0.96809,0.50058,1.58043,0.85713,0.91009,0.00183368,0.00183368,0.00183368
44,164.789,1.62143,0.80783,0.94585,0.9716,0.97561,0.97724,0.51414,1.56619,0.79298,0.91262,0.00182972,0.00182972,0.00182972
45,169.147,1.55462,0.80055,0.91604,0.9724,0.97561,0.97954,0.5108,1.57003,0.80141,0.90186,0.00182576,0.00182576,0.00182576
46,172.885,1.53783,0.79513,0.92041,0.98613,0.97561,0.97518,0.52412,1.57232,0.8068,0.89902,0.0018218,0.0018218,0.0018218
47,176.638,1.60573,0.80065,0.92487,0.99228,0.97561,0.97521,0.50636,1.5067,0.81384,0.89506,0.00181784,0.00181784,0.00181784
48,180.461,1.66175,0.82338,0.91559,0.94889,0.92683,0.89769,0.35381,1.90754,0.87641,0.97693,0.00181388,0.00181388,0.00181388
49,184.347,1.59282,0.81979,0.92887,0.9742,0.92101,0.94889,0.44348,1.70376,0.83623,0.92608,0.00180992,0.00180992,0.00180992
50,188.124,1.53981,0.84269,0.91978,0.96625,0.97561,0.97408,0.50014,1.56021,0.80077,0.89629,0.00180596,0.00180596,0.00180596
51,192.169,1.53819,0.81894,0.8998,0.93452,0.97561,0.97241,0.51835,1.50802,0.75616,0.88901,0.001802,0.001802,0.001802
52,197.071,1.6605,0.84455,0.91516,1,0.92013,0.97184,0.52753,1.54115,0.78733,0.89418,0.00179804,0.00179804,0.00179804
53,201.259,1.55368,0.8167,0.9371,0.99265,0.92683,0.98223,0.56907,1.47422,0.80534,0.88147,0.00179408,0.00179408,0.00179408
54,206.014,1.48555,0.7668,0.87555,1,0.9463,0.9815,0.57374,1.44544,0.77826,0.87266,0.00179012,0.00179012,0.00179012
55,210.435,1.53632,0.76552,0.92439,0.99555,0.95122,0.98066,0.55729,1.52134,0.82265,0.88745,0.00178616,0.00178616,0.00178616
56,215.023,1.55887,0.80568,0.89299,0.97505,0.95319,0.99234,0.53142,1.5575,0.82914,0.89299,0.0017822,0.0017822,0.0017822
57,219.531,1.63147,0.79346,0.91395,0.95563,0.95122,0.98519,0.52486,1.54146,0.8309,0.89008,0.00177824,0.00177824,0.00177824
58,224.258,1.45688,0.74827,0.89982,0.96627,0.97561,0.97571,0.54022,1.49795,0.79692,0.88266,0.00177428,0.00177428,0.00177428
59,228.42,1.44096,0.75377,0.90659,0.9717,0.97561,0.96582,0.51979,1.52378,0.80381,0.88831,0.00177032,0.00177032,0.00177032
60,232.295,1.44812,0.7266,0.90836,0.98639,0.97561,0.97539,0.52447,1.55397,0.77907,0.89301,0.00176636,0.00176636,0.00176636
61,235.763,1.44746,0.70741,0.90933,0.9852,0.97561,0.99283,0.52245,1.54868,0.77993,0.89053,0.0017624,0.0017624,0.0017624
62,239.152,1.55966,0.74547,0.90399,0.99325,0.97561,0.99245,0.52472,1.55653,0.76237,0.8854,0.00175844,0.00175844,0.00175844
63,242.561,1.47993,0.81369,0.88647,1,0.97279,0.99364,0.5419,1.54146,0.77959,0.88358,0.00175448,0.00175448,0.00175448
64,246.792,1.42718,0.75154,0.92313,0.94492,0.95122,0.94872,0.52069,1.48868,0.78064,0.88094,0.00175052,0.00175052,0.00175052
65,250.345,1.54408,0.75933,0.90631,0.98545,0.97561,0.97557,0.55718,1.48588,0.73641,0.88521,0.00174656,0.00174656,0.00174656
66,253.859,1.50702,0.74973,0.89016,0.98039,0.97561,0.97556,0.55644,1.50226,0.78188,0.88959,0.0017426,0.0017426,0.0017426
67,257.898,1.48064,0.77003,0.89165,0.97152,0.97561,0.97513,0.5803,1.47231,0.77659,0.88303,0.00173864,0.00173864,0.00173864
68,261.618,1.47842,0.71979,0.90524,0.99554,0.97561,0.97575,0.56113,1.48113,0.73392,0.88174,0.00173468,0.00173468,0.00173468
69,265.13,1.49222,0.75122,0.88486,0.95016,0.97561,0.97399,0.53996,1.527,0.74836,0.89048,0.00173072,0.00173072,0.00173072
70,268.454,1.53983,0.7317,0.89368,0.99858,0.97561,0.98382,0.5313,1.61377,0.77074,0.91472,0.00172676,0.00172676,0.00172676
71,272.303,1.47187,0.76557,0.89926,0.99157,0.97561,0.98337,0.53188,1.65109,0.77784,0.91954,0.0017228,0.0017228,0.0017228
72,276.149,1.53417,0.74436,0.89435,0.94509,0.97561,0.97436,0.51553,1.64748,0.77145,0.91422,0.00171884,0.00171884,0.00171884
73,280.337,1.56496,0.71777,0.91768,0.96932,0.97561,0.9755,0.56864,1.50069,0.73937,0.89041,0.00171488,0.00171488,0.00171488
74,284.04,1.45236,0.69598,0.90684,0.98401,0.97561,0.98411,0.55447,1.50167,0.71452,0.89422,0.00171092,0.00171092,0.00171092
75,287.929,1.56438,0.74946,0.93358,0.98595,0.97561,0.9832,0.55414,1.48247,0.70816,0.89468,0.00170696,0.00170696,0.00170696
76,291.94,1.44585,0.75188,0.91114,0.97181,0.95122,0.9555,0.51629,1.6766,0.77702,0.91629,0.001703,0.001703,0.001703
77,295.455,1.55667,0.76114,0.93294,0.97471,0.94002,0.9558,0.50854,1.7161,0.77943,0.92186,0.00169904,0.00169904,0.00169904
78,299.076,1.50607,0.74893,0.90389,1,0.96813,0.97584,0.58004,1.54152,0.72452,0.892,0.00169508,0.00169508,0.00169508
79,302.634,1.48279,0.75867,0.9009,0.9856,0.97561,0.98401,0.59809,1.47198,0.70547,0.88265,0.00169112,0.00169112,0.00169112
