epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,194.579,1.54852,0.78759,0.91494,0.97098,0.97561,0.97436,0.54871,1.47256,0.7456,0.88316,0.0011684,0.0011684,0.0011684
44,198.56,1.5756,0.80639,0.92533,0.97007,0.97561,0.97358,0.55174,1.44414,0.74738,0.8809,0.0011486,0.0011486,0.0011486
45,202.882,1.45934,0.7661,0.89842,0.96891,0.97561,0.97371,0.51894,1.46028,0.76001,0.88727,0.0011288,0.0011288,0.0011288
46,206.672,1.49835,0.76238,0.91919,0.98939,1,0.995,0.52103,1.43772,0.74499,0.88346,0.001109,0.001109,0.001109
47,211.35,1.55865,0.76886,0.9202,0.99527,1,0.995,0.49834,1.49185,0.76403,0.89255,0.0010892,0.0010892,0.0010892
48,216.007,1.50843,0.75749,0.89126,0.95219,0.97161,0.98543,0.42988,1.67025,0.82728,0.92307,0.0010694,0.0010694,0.0010694
49,220.914,1.49855,0.76601,0.90887,0.97577,0.98237,0.99452,0.48275,1.56667,0.76786,0.89955,0.0010496,0.0010496,0.0010496
50,224.809,1.44551,0.79553,0.90594,0.9999,0.97561,0.98823,0.51639,1.48166,0.749,0.88265,0.0010298,0.0010298,0.0010298
51,229.082,1.45721,0.78088,0.894,0.95203,0.96832,0.97321,0.52042,1.42725,0.74313,0.87436,0.00101,0.00101,0.00101
52,233.641,1.61217,0.80763,0.91478,0.92982,0.92683,0.96604,0.53942,1.4227,0.75507,0.8778,0.0009902,0.0009902,0.0009902
53,237.888,1.56486,0.77344,0.93525,0.94754,0.95122,0.97479,0.57347,1.38366,0.74801,0.87353,0.0009704,0.0009704,0.0009704
54,241.799,1.47826,0.76599,0.8724,0.97496,0.94971,0.975,0.58962,1.38106,0.73564,0.86711,0.0009506,0.0009506,0.0009506
55,245.619,1.47996,0.73298,0.91525,1,0.94737,0.97576,0.57257,1.41067,0.73135,0.86672,0.0009308,0.0009308,0.0009308
56,249.724,1.46199,0.75781,0.8762,0.98853,0.95122,0.97301,0.56315,1.47031,0.72613,0.88106,0.000911,0.000911,0.000911
57,254.756,1.54531,0.76644,0.89669,0.97994,0.95122,0.96536,0.55626,1.53139,0.74745,0.89304,0.0008912,0.0008912,0.0008912
58,259.083,1.41957,0.74051,0.88692,0.98567,0.95122,0.96454,0.54942,1.50939,0.73831,0.89171,0.0008714,0.0008714,0.0008714
59,263.484,1.36064,0.7116,0.89311,0.98728,0.95122,0.96488,0.5526,1.50717,0.7286,0.88705,0.0008516,0.0008516,0.0008516
60,268.155,1.39784,0.70706,0.89958,0.98565,0.97561,0.97525,0.54252,1.54716,0.71115,0.89098,0.0008318,0.0008318,0.0008318
61,273.315,1.47481,0.69944,0.90832,0.98682,0.97561,0.97526,0.53418,1.56184,0.71391,0.89689,0.000812,0.000812,0.000812
62,277.173,1.50806,0.72488,0.89518,1,0.97549,0.97527,0.52914,1.54124,0.71232,0.89814,0.0007922,0.0007922,0.0007922
63,281.379,1.48429,0.79698,0.8818,0.98642,0.97561,0.97527,0.54203,1.54098,0.71148,0.89531,0.0007724,0.0007724,0.0007724
64,285.666,1.42929,0.73501,0.92384,0.94667,0.95122,0.96166,0.52647,1.52459,0.70836,0.89337,0.0007526,0.0007526,0.0007526
65,290.434,1.40029,0.72981,0.88135,0.962,0.97561,0.97362,0.49896,1.58804,0.70913,0.90156,0.0007328,0.0007328,0.0007328
66,294.415,1.45589,0.72761,0.87643,0.97061,0.95122,0.96182,0.50536,1.61333,0.71797,0.90704,0.000713,0.000713,0.000713
67,298.628,1.3791,0.71781,0.88143,0.97352,0.95122,0.96118,0.53536,1.59421,0.72606,0.90138,0.0006932,0.0006932,0.0006932
68,302.651,1.34672,0.67933,0.89048,0.9467,0.95122,0.97747,0.55144,1.52048,0.71579,0.88871,0.0006734,0.0006734,0.0006734
69,306.738,1.40352,0.73669,0.87246,0.95092,0.94514,0.97759,0.56617,1.50012,0.72069,0.88533,0.0006536,0.0006536,0.0006536
70,310.59,1.40091,0.67732,0.87641,0.94769,0.95122,0.97773,0.55497,1.50633,0.73015,0.88568,0.0006338,0.0006338,0.0006338
71,314.814,1.41749,0.73062,0.89183,0.94751,0.95122,0.97956,0.54651,1.541,0.73343,0.88882,0.000614,0.000614,0.000614
72,319.469,1.45522,0.71798,0.88857,0.98035,0.97561,0.98706,0.5138,1.65648,0.73858,0.9059,0.0005942,0.0005942,0.0005942
73,324.262,1.44302,0.70228,0.89906,0.98565,0.97561,0.98867,0.52139,1.61513,0.72778,0.89953,0.0005744,0.0005744,0.0005744
74,328.568,1.3614,0.70415,0.89264,0.95827,0.95122,0.98106,0.54009,1.56114,0.71969,0.8914,0.0005546,0.0005546,0.0005546
75,333.575,1.34103,0.66115,0.90335,0.97179,0.97561,0.98991,0.55565,1.51983,0.7175,0.88731,0.0005348,0.0005348,0.0005348
76,339.783,1.3693,0.68379,0.90441,0.97164,0.97561,0.99028,0.57942,1.43029,0.6933,0.87312,0.000515,0.000515,0.000515
77,345.397,1.3561,0.65539,0.89514,0.97144,0.97561,0.99059,0.58569,1.43039,0.69051,0.8715,0.0004952,0.0004952,0.0004952
78,351.078,1.41779,0.6853,0.88262,0.9709,0.97561,0.99059,0.58534,1.45676,0.68748,0.87146,0.0004754,0.0004754,0.0004754
79,356.472,1.41354,0.69001,0.89234,0.97206,0.97561,0.97494,0.58143,1.50295,0.69526,0.87778,0.0004556,0.0004556,0.0004556
80,362.938,1.41948,0.71049,0.89848,0.97299,0.97561,0.98991,0.56474,1.55291,0.70629,0.88685,0.0004358,0.0004358,0.0004358
81,368.188,1.43677,0.70403,0.88691,0.97169,0.97561,0.98942,0.56908,1.54325,0.71032,0.88625,0.000416,0.000416,0.000416
82,373.184,1.3934,0.67915,0.88277,0.97164,0.97561,0.97495,0.57839,1.53788,0.70158,0.88677,0.0003962,0.0003962,0.0003962
83,379.388,1.39361,0.68235,0.88454,0.97272,0.97561,0.97544,0.56371,1.51727,0.69757,0.88429,0.0003764,0.0003764,0.0003764
